ItemType,OptionType,Rarity,Min,Max
Armor,초당HP회복속도증가,Magic,3,8
Armor,초당HP회복속도증가,Rare,6,12
Armor,힘,Normal,1,5
Armor,힘,Magic,3,8
Armor,힘,Rare,6,12
Armor,지능,Normal,1,5
Armor,지능,Magic,3,8
Armor,지능,Rare,6,12
Armor,이동속도,Normal,1,5
Armor,이동속도,Magic,3,8
Armor,이동속도,Rare,6,12
Armor,방어력,Normal,1,5
Armor,방어력,Magic,3,8
Armor,방어력,Rare,6,12
Belt,방어력,Normal,1,5
Belt,방어력,Magic,3,8
Belt,방어력,Rare,6,12
Belt,이동속도,Normal,1,5
Belt,이동속도,Magic,3,8
Belt,이동속도,Rare,6,12
Belt,초당HP회복속도증가,Normal,1,5
Belt,초당HP회복속도증가,Magic,3,8
Belt,초당HP회복속도증가,Rare,6,12
Belt,최대HP량증가,Normal,1,5
Belt,최대HP량증가,Magic,3,8
Belt,최대HP량증가,Rare,6,12
Belt,행운,Normal,1,5
Belt,행운,Magic,3,8
Belt,행운,Rare,6,12
Belt,힘,Normal,1,5
Belt,힘,Magic,3,8
Belt,힘,Rare,6,12
Boots,이동속도,Normal,1,5
Boots,이동속도,Magic,3,8
Boots,이동속도,Rare,6,12
Boots,민첩,Normal,1,5
Boots,민첩,Magic,3,8
Boots,민첩,Rare,6,12
Boots,행운,Normal,1,5
Boots,행운,Magic,3,8
Boots,행운,Rare,6,12
Boots,힘,Normal,1,5
Boots,힘,Magic,3,8
Boots,힘,Rare,6,12
Boots,초당HP회복량증가,Normal,1,5
Boots,초당HP회복량증가,Magic,3,8
Boots,초당HP회복량증가,Rare,6,12
Boots,방어력,Normal,1,5
Boots,방어력,Magic,3,8
Boots,방어력,Rare,6,12
Gloves,공격속도,Normal,1,5
Gloves,공격속도,Magic,3,8
Gloves,공격속도,Rare,6,12
Gloves,치명타확률,Normal,1,5
Gloves,치명타확률,Magic,3,8
Gloves,치명타확률,Rare,6,12
Gloves,치명타피해량,Normal,1,5
Gloves,치명타피해량,Magic,3,8
Gloves,치명타피해량,Rare,6,12
Gloves,힘,Normal,1,5
Gloves,힘,Magic,3,8
Gloves,힘,Rare,6,12
Gloves,민첩,Normal,1,5
Gloves,민첩,Magic,3,8
Gloves,민첩,Rare,6,12
Gloves,지능,Normal,1,5
Gloves,지능,Magic,3,8
Gloves,지능,Rare,6,12
Cloak,행운,Normal,1,5
Cloak,행운,Magic,3,8
Cloak,행운,Rare,6,12
Cloak,이동속도,Normal,1,5
Cloak,이동속도,Magic,3,8
Cloak,이동속도,Rare,6,12
Cloak,방어력,Normal,1,5
Cloak,방어력,Magic,3,8
Cloak,방어력,Rare,6,12
Cloak,공격속도,Normal,1,5
Cloak,공격속도,Magic,3,8
Cloak,공격속도,Rare,6,12
Cloak,지능,Normal,1,5
Cloak,지능,Magic,3,8
Cloak,지능,Rare,6,12
Cloak,민첩,Normal,1,5
Cloak,민첩,Magic,3,8
Cloak,민첩,Rare,6,12
Necklace,공격력,Normal,1,5
Necklace,공격력,Magic,3,8
Necklace,공격력,Rare,6,12
Necklace,방어력,Normal,1,5
Necklace,방어력,Magic,3,8
Necklace,방어력,Rare,6,12
Necklace,이동속도,Normal,1,5
Necklace,이동속도,Magic,3,8
Necklace,이동속도,Rare,6,12
Necklace,공격속도,Normal,1,5
Necklace,공격속도,Magic,3,8
Necklace,공격속도,Rare,6,12
Necklace,치명타확률,Normal,1,5
Necklace,치명타확률,Magic,3,8
Necklace,치명타확률,Rare,6,12
Necklace,치명타피해량,Normal,1,5
Necklace,치명타피해량,Magic,3,8
Necklace,치명타피해량,Rare,6,12
Necklace,행운,Normal,1,5
Necklace,행운,Magic,3,8
Necklace,행운,Rare,6,12
Necklace,최대HP량증가,Normal,1,5
Necklace,최대HP량증가,Magic,3,8
Necklace,최대HP량증가,Rare,6,12
Necklace,최대MP량증가,Normal,1,5
Necklace,최대MP량증가,Magic,3,8
Necklace,최대MP량증가,Rare,6,12
Necklace,초당HP회복량증가,Normal,1,5
Necklace,초당HP회복량증가,Magic,3,8
Necklace,초당HP회복량증가,Rare,6,12
Necklace,초당MP회복량증가,Normal,1,5
Necklace,초당MP회복량증가,Magic,3,8
Necklace,초당MP회복량증가,Rare,6,12
Necklace,초당HP회복속도증가,Normal,1,5
Necklace,초당HP회복속도증가,Magic,3,8
Necklace,초당HP회복속도증가,Rare,6,12
Necklace,초당MP회복속도증가,Normal,1,5
Necklace,초당MP회복속도증가,Magic,3,8
Necklace,초당MP회복속도증가,Rare,6,12
Necklace,힘,Normal,1,5
Necklace,힘,Magic,3,8
Necklace,힘,Rare,6,12
Necklace,민첩,Normal,1,5
Necklace,민첩,Magic,3,8
Necklace,민첩,Rare,6,12
Necklace,지능,Normal,1,5
Necklace,지능,Magic,3,8
Necklace,지능,Rare,6,12
Necklace,투사체수증가,Normal,1,5
Necklace,투사체수증가,Magic,3,8
Necklace,투사체수증가,Rare,6,12
Necklace,투사체속도증가,Normal,1,5
Necklace,투사체속도증가,Magic,3,8
Necklace,투사체속도증가,Rare,6,12
Necklace,특수공격력증가,Normal,1,5
Necklace,특수공격력증가,Magic,3,8
Necklace,특수공격력증가,Rare,6,12
Necklace,공격범위증가,Normal,1,5
Necklace,공격범위증가,Magic,3,8
Necklace,공격범위증가,Rare,6,12
Ring1,공격력,Normal,1,5
Ring1,공격력,Magic,3,8
Ring1,공격력,Rare,6,12
Ring1,방어력,Normal,1,5
Ring1,방어력,Magic,3,8
Ring1,방어력,Rare,6,12
Ring1,이동속도,Normal,1,5
Ring1,이동속도,Magic,3,8
Ring1,이동속도,Rare,6,12
Ring1,공격속도,Normal,1,5
Ring1,공격속도,Magic,3,8
Ring1,공격속도,Rare,6,12
Ring1,치명타확률,Normal,1,5
Ring1,치명타확률,Magic,3,8
Ring1,치명타확률,Rare,6,12
Ring1,치명타피해량,Normal,1,5
Ring1,치명타피해량,Magic,3,8
Ring1,치명타피해량,Rare,6,12
Ring1,행운,Normal,1,5
Ring1,행운,Magic,3,8
Ring1,행운,Rare,6,12
Ring1,최대HP량증가,Normal,1,5
Ring1,최대HP량증가,Magic,3,8
Ring1,최대HP량증가,Rare,6,12
Ring1,최대MP량증가,Normal,1,5
Ring1,최대MP량증가,Magic,3,8
Ring1,최대MP량증가,Rare,6,12
Ring1,초당HP회복량증가,Normal,1,5
Ring1,초당HP회복량증가,Magic,3,8
Ring1,초당HP회복량증가,Rare,6,12
Ring1,초당MP회복량증가,Normal,1,5
Ring1,초당MP회복량증가,Magic,3,8
Ring1,초당MP회복량증가,Rare,6,12
Ring1,초당HP회복속도증가,Normal,1,5
Ring1,초당HP회복속도증가,Magic,3,8
Ring1,초당HP회복속도증가,Rare,6,12
Ring1,초당MP회복속도증가,Normal,1,5
Ring1,초당MP회복속도증가,Magic,3,8
Ring1,초당MP회복속도증가,Rare,6,12
Ring1,힘,Normal,1,5
Ring1,힘,Magic,3,8
Ring1,힘,Rare,6,12
Ring1,민첩,Normal,1,5
Ring1,민첩,Magic,3,8
Ring1,민첩,Rare,6,12
Ring1,지능,Normal,1,5
Ring1,지능,Magic,3,8
Ring1,지능,Rare,6,12
Ring1,투사체수증가,Normal,1,5
Ring1,투사체수증가,Magic,3,8
Ring1,투사체수증가,Rare,6,12
Ring1,투사체속도증가,Normal,1,5
Ring1,투사체속도증가,Magic,3,8
Ring1,투사체속도증가,Rare,6,12
Ring1,특수공격력증가,Normal,1,5
Ring1,특수공격력증가,Magic,3,8
Ring1,특수공격력증가,Rare,6,12
Ring1,공격범위증가,Normal,1,5
Ring1,공격범위증가,Magic,3,8
Ring1,공격범위증가,Rare,6,12
Ring2,공격력,Normal,1,5
Ring2,공격력,Magic,3,8
Ring2,공격력,Rare,6,12
Ring2,방어력,Normal,1,5
Ring2,방어력,Magic,3,8
Ring2,방어력,Rare,6,12
Ring2,이동속도,Normal,1,5
Ring2,이동속도,Magic,3,8
Ring2,이동속도,Rare,6,12
Ring2,공격속도,Normal,1,5
Ring2,공격속도,Magic,3,8
Ring2,공격속도,Rare,6,12
Ring2,치명타확률,Normal,1,5
Ring2,치명타확률,Magic,3,8
Ring2,치명타확률,Rare,6,12
Ring2,치명타피해량,Normal,1,5
Ring2,치명타피해량,Magic,3,8
Ring2,치명타피해량,Rare,6,12
Ring2,행운,Normal,1,5
Ring2,행운,Magic,3,8
Ring2,행운,Rare,6,12
Ring2,최대HP량증가,Normal,1,5
Ring2,최대HP량증가,Magic,3,8
Ring2,최대HP량증가,Rare,6,12
Ring2,최대MP량증가,Normal,1,5
Ring2,최대MP량증가,Magic,3,8
Ring2,최대MP량증가,Rare,6,12
Ring2,초당HP회복량증가,Normal,1,5
Ring2,초당HP회복량증가,Magic,3,8
Ring2,초당HP회복량증가,Rare,6,12
Ring2,초당MP회복량증가,Normal,1,5
Ring2,초당MP회복량증가,Magic,3,8
Ring2,초당MP회복량증가,Rare,6,12
Ring2,초당HP회복속도증가,Normal,1,5
Ring2,초당HP회복속도증가,Magic,3,8
Ring2,초당HP회복속도증가,Rare,6,12
Ring2,초당MP회복속도증가,Normal,1,5
Ring2,초당MP회복속도증가,Magic,3,8
Ring2,초당MP회복속도증가,Rare,6,12
Ring2,힘,Normal,1,5
Ring2,힘,Magic,3,8
Ring2,힘,Rare,6,12
Ring2,민첩,Normal,1,5
Ring2,민첩,Magic,3,8
Ring2,민첩,Rare,6,12
Ring2,지능,Normal,1,5
Ring2,지능,Magic,3,8
Ring2,지능,Rare,6,12
Ring2,투사체수증가,Normal,1,5
Ring2,투사체수증가,Magic,3,8
Ring2,투사체수증가,Rare,6,12
Ring2,투사체속도증가,Normal,1,5
Ring2,투사체속도증가,Magic,3,8
Ring2,투사체속도증가,Rare,6,12
Ring2,특수공격력증가,Normal,1,5
Ring2,특수공격력증가,Magic,3,8
Ring2,특수공격력증가,Rare,6,12
Ring2,공격범위증가,Normal,1,5
Ring2,공격범위증가,Magic,3,8
Ring2,공격범위증가,Rare,6,12
